collectionId,name,summary,createdAt
1,Evento de música,Realizado para la música prueba,2024-06-22
2,Ayuda economica,Para los estudiantes de ayuda económica,2024-06-22
3,Recoger Fondos,Realizado para recoger fondos,2024-06-22
4,Evento de informática,En esta colección se coloca información del evento realizado en lab. Moviles el día 27/6/24,2024-06-27
5,coleccion de informacion de prueba de eduardo,información relevante a las canchas de la universidad,2024-06-29
6,coleccion de informacion de prueba de eduardo,información relevante a las canchas de la universidad,2024-06-29
7,Coleccion de información de prueba,es solo una prueba para ver si esta todo bien,2024-06-30
8,nueva colección,resumen de la colección,2024-07-01
9,nueva colección otra vez,resumen de la colección nueva,2024-07-01
10,una prueba de,una prueba de para saber si sirve,2024-07-02
11,CANCHA DE USOS MULTIPLES,PROBLEMAS RELACIONADOS CON LA CANCHA DE USOS MULTIPLES,2024-07-02
12,Una prueba de colección,esro es una prueba de como hacer,2024-07-04
13,Carbon Footprint,Measurement of greenhouse gases emitted.,2024-06-22
14,Energy Consumption,Total energy used by an entity.,2024-06-22
15,Water Usage,Volume of water consumed.,2024-06-22
16,Waste Generation,Amount of waste produced.,2024-06-27
17,Recycling Rates,Percentage of waste recycled.,2024-06-29
18,Air Quality Index,Measurement of air pollution levels.,2024-06-29
19,Renewable Energy Usage,Share of energy from renewable sources.,2024-06-30
20,Green Building Certifications,Number of buildings with green certifications.,2024-07-01
21,Biodiversity Index,Indicator of species diversity in a given area.,2024-07-01
22,Sustainable Transport,Usage of eco-friendly transportation options.,2024-07-02
23,Water Quality,Measurement of water pollution levels.,2024-06-22
24,Soil Health,Assessment of soil quality and fertility.,2024-06-22
25,Green Space,Area covered by parks and vegetation.,2024-06-22
26,Organic Farming,Extent of organic agricultural practices.,2024-06-22
27,Eco-Friendly Products,Usage of environmentally safe products.,2024-06-22
28,Deforestation Rates,Speed of forest loss in a region.,2024-06-22
29,Marine Health,State of ocean and coastal ecosystems.,2024-06-27
30,Public Awareness,Level of public knowledge on environmental issues.,2024-06-29
31,Carbon Offsetting,Efforts to compensate for CO2 emissions.,2024-06-22
32,Ecosystem Restoration,Projects aimed at restoring natural habitats.,2024-06-22
33,Sustainable Fisheries,Practices that maintain fish populations.,2024-06-22
34,Urban Heat Island,Effect of urban areas on temperature.,2024-06-27
35,Noise Pollution,Levels of unwanted or harmful sounds.,2024-06-29
36,Light Pollution,Excessive or misdirected artificial light.,2024-06-29
37,Sustainable Agriculture,Farming methods that protect the environment.,2024-06-30
38,Electric Vehicle Adoption,Use of electric cars and other vehicles.,2024-07-01
39,Green Jobs,Employment in the environmental sector.,2024-07-01
40,E-Waste Management,Handling and recycling of electronic waste.,2024-07-02
41,Composting Rates,Percentage of organic waste composted.,2024-07-02
42,Sustainable Water Management,Practices to manage and conserve water.,2024-07-04
43,Plastic Reduction,Efforts to minimize plastic usage.,2024-06-29
44,Carbon Capture,Technologies to capture and store CO2.,2024-06-29
45,Environmental Education,Programs teaching about the environment.,2024-06-30
46,Green Innovations,New technologies that benefit the environment.,2024-06-22
47,Sustainable Tourism,Tourism practices that protect the environment.,2024-06-22
48,Green Finance,Investments in environmentally beneficial projects.,2024-06-22
49,Climate Resilience,Ability to adapt to climate change impacts.,2024-06-27
50,Circular Economy,Economic model aimed at minimizing waste.,2024-06-29
51,Environmental Policy,Regulations to protect the environment.,2024-06-29
52,Green Building Materials,Usage of eco-friendly construction materials.,2024-06-30
53,Environmental Justice,Fair distribution of environmental benefits.,2024-07-01
54,Sustainable Packaging,Eco-friendly packaging solutions.,2024-07-01
55,Green Infrastructure,Development of environmentally sound infrastructure.,2024-07-02
56,Natural Capital,Value of natural resources and ecosystems.,2024-07-02
57,Pollution Prevention,Efforts to reduce or eliminate pollution.,2024-07-04
58,Sustainable Supply Chains,Eco-friendly supply chain practices.,2024-06-22
59,Forest Conservation,Efforts to preserve and restore forests.,2024-06-22
60,Sustainable Development Goals,UN goals for sustainable development.,2024-06-22
61,Green Certifications,Certifications for eco-friendly practices.,2024-06-27
62,Carbon Neutrality,Achieving net zero carbon emissions.,2024-06-29
63,Renewable Energy Capacity,Total installed renewable energy capacity.,2024-06-29
64,Water Conservation,Efforts to use water more efficiently.,2024-06-30
65,Green Roofs,Roofs covered with vegetation.,2024-07-01
66,Wildlife Conservation,Efforts to protect and preserve wildlife.,2024-07-01
67,Community Gardens,Gardens maintained by community members.,2024-06-22
68,Urban Forestry,Management of urban tree populations.,2024-06-22
69,Zero Waste Initiatives,Efforts to eliminate waste generation.,2024-06-22
70,Green Transportation Infrastructure,Infrastructure supporting eco-friendly transportation.,2024-06-27
71,Environmental Impact Assessments,Evaluations of the environmental impact of projects.,2024-06-29
72,Sustainable Fisheries Management,Regulation of fishing practices for sustainability.,2024-06-29
73,Eco-Labelling,Labels indicating environmentally friendly products.,2024-06-30
74,Carbon Trading,Market-based approach to controlling pollution by providing economic incentives.,2024-06-22
75,Marine Protected Areas,Regions of the ocean where human activity is restricted.,2024-06-22
76,Sustainable Mining Practices,Methods to minimize the environmental impact of mining.,2024-06-22
77,Environmental Risk Management,Processes to assess and manage environmental risks.,2024-06-27
78,Climate Action Plans,Strategic plans to combat climate change.,2024-06-29
79,Clean Air Programs,Initiatives to improve air quality.,2024-06-29
80,Green Bonds,Bonds specifically for raising money for climate and environmental projects.,2024-06-30
81,Energy Efficiency Programs,Programs to reduce energy consumption.,2024-07-01
82,Climate Change Adaptation,Efforts to adapt to the effects of climate change.,2024-07-01
83,Environmental Monitoring,Regular collection of data on environmental conditions.,2024-07-02
84,Sustainable Land Management,Practices for the sustainable use of land.,2024-07-02
85,Eco-Friendly Urban Design,Urban planning that incorporates green principles.,2024-07-04
86,Green Building Codes,Regulations that require eco-friendly construction practices.,2024-06-22
87,Water Recycling,Reusing treated wastewater for beneficial purposes.,2024-06-22
88,Biodiversity Conservation,Efforts to protect and restore biodiversity.,2024-06-22
89,Environmental Governance,Frameworks for managing environmental issues.,2024-06-22
90,Sustainable Food Systems,Methods for producing food in environmentally friendly ways.,2024-06-22
91,Green Supply Chain Management,Practices to make supply chains more sustainable.,2024-06-22
92,Sustainable Urban Mobility,Transport solutions that reduce environmental impact.,2024-06-27
93,Renewable Energy Investments,Investments in renewable energy projects.,2024-06-29
94,Ecotourism,Tourism focused on natural environments.,2024-06-29
95,Green Technology Innovations,Innovations in technology for environmental sustainability.,2024-06-30
96,Sustainable Agriculture,Farming methods that minimize environmental impact.,2024-07-01
97,Ocean Conservation,Efforts to preserve and protect ocean ecosystems.,2024-07-01
98,Waste Management,Strategies for effective waste disposal and recycling.,2024-07-02
99,Green Energy Policies,Government policies promoting renewable energy use.,2024-07-02
100,Sustainable Packaging,Packaging materials and practices that minimize environmental impact.,2024-07-04